grid_id,risk_index,protection_level
5_27,0.04809432203389831,0.02247608633901225
5_28,0.04809432203389831,0.02247637001208274
5_29,0.0539263220338983,0.025200096817825906
5_30,0.05248632203389831,0.02452484797583238
5_31,0.05248632203389831,0.024519382865094714
5_32,0.051046322033898306,0.023837246221629478
5_33,0.0516463220338983,0.024102079267497984
5_34,0.042490322033898305,0.019807738239244584
5_35,0.04309032203389831,0.020046410668485996
5_36,0.04309032203389831,0.01999396117314097
5_40,0.037654322033898305,0.007132321800532246
5_41,0.03849432203389831,0.007291431033917291
5_42,0.03849432203389831,0.007291431033917291
5_43,0.04765032203389831,0.009025721677814257
5_44,0.04765032203389831,0.009025721677814257
5_45,0.04765032203389831,0.009025721677814257
5_46,0.04765032203389831,0.009025721677814257
5_47,0.04849032203389831,0.0091848309111993
5_48,0.04849032203389831,0.0091848309111993
5_49,0.04933032203389832,0.009343940144584345
5_50,0.05121432203389831,0.021336940891230203
5_51,0.051454322033898305,0.024020821285391108
5_52,0.05085432203389831,0.023744007969052284
5_53,0.05085432203389831,0.02374668149380852
5_54,0.050742457627118646,0.023693602351918256
5_55,0.05123059322033899,0.02345368333170148
6_27,0.049046186440677965,0.022922906823682077
6_28,0.049046186440677965,0.01777075688443003
6_29,0.05487818644067796,0.019883349167430786
6_30,0.053438186440677965,0.019359567258759636
6_31,0.05283818644067796,0.01913934218627629
6_32,0.05199818644067797,0.018830008216907286
6_33,0.05259818644067796,0.019039705723989928
6_34,0.04344218644067797,0.015710852276832894
6_35,0.04404218644067796,0.015898669716156787
6_36,0.04404218644067796,0.015854713781512708
6_37,0.044882186440677964,0.018580721156664332
6_39,0.03800618644067797,0.007198970462458669
6_40,0.03800618644067797,0.007198970462458669
6_41,0.038846186440677964,0.007358079695843711
6_42,0.038846186440677964,0.007358079695843711
6_43,0.04800218644067797,0.009092370339740679
6_44,0.04800218644067797,0.009092370339740679
6_45,0.04800218644067797,0.009092370339740679
6_46,0.04800218644067797,0.009092370339740679
6_47,0.048842186440677976,0.009251479573125724
6_48,0.048842186440677976,0.009251479573125724
6_49,0.04968218644067797,0.009410588806510765
6_50,0.051566186440677966,0.018660511788477524
6_51,0.05180618644067797,0.018750614030575187
6_52,0.05180618644067797,0.01875186266157888
6_53,0.05812632203389831,0.02104443968905109
6_54,0.05801445762711864,0.021005956674448656
6_55,0.05850259322033898,0.021182861812486832
6_56,0.05755072881355931,0.02688076915470739
7_8,0.03544205084745763,0.016559081148468893
7_9,0.03628205084745763,0.016952179890285222
7_10,0.03628205084745763,0.01695385486202334
7_11,0.036882050847457624,0.017235499754745753
7_12,0.036882050847457624,0.017236829707366633
7_13,0.036882050847457624,0.017237254758249207
7_14,0.03544205084745763,0.01656463286657397
7_15,0.036882050847457624,0.01723816832545636
7_16,0.036882050847457624,0.017238552276177245
7_17,0.03772205084745763,0.017631291528397642
7_18,0.03712205084745763,0.017350990728145617
7_19,0.04603805084745763,0.02151842736149343
7_20,0.04519805084745762,0.021125838094443572
7_21,0.04579805084745763,0.02140630472547181
7_22,0.04639805084745763,0.02168671644724992
7_23,0.046998050847457624,0.021967098267863843
7_24,0.04759805084745763,0.02224744449237923
