grid_id,risk_index,protection_level
5_27,0.09618864406779662,0.03842592255115264
5_28,0.09618864406779662,0.03842503284752416
5_29,0.1078526440677966,0.0430821228271032
5_30,0.10497264406779662,0.04192845402227919
5_31,0.10497264406779662,0.04192458385774036
5_32,0.10209264406779661,0.040768361409804665
5_33,0.1032926440677966,0.04123480926745675
5_34,0.08498064406779661,0.03391433063601475
5_35,0.08618064406779662,0.03438723782542268
5_36,0.08618064406779662,0.03436608309392552
5_40,0.07530864406779661,0.012405577016191901
5_41,0.07698864406779662,0.012682323061020967
5_42,0.07698864406779662,0.012682323061020967
5_43,0.09530064406779662,0.015698854949657753
5_44,0.09530064406779662,0.015698854949657753
5_45,0.09530064406779662,0.015698854949657753
5_46,0.09530064406779662,0.015698854949657753
5_47,0.09698064406779662,0.015975600994486815
5_48,0.09698064406779662,0.015975600994486815
5_49,0.09866064406779664,0.01625234703931588
5_50,0.10242864406779661,0.03498773933581864
5_51,0.10290864406779661,0.040981008132417514
5_52,0.10170864406779662,0.0404825753696394
5_53,0.10170864406779662,0.04046944156133945
5_54,0.10148491525423729,0.04037557005099202
5_55,0.10246118644067798,0.040758650002453725
6_27,0.09809237288135593,0.03918785300892916
6_28,0.09809237288135593,0.027570603539927418
6_29,0.10975637288135592,0.03084810406832716
6_30,0.10687637288135593,0.03003706170465964
6_31,0.10567637288135592,0.029697402091847985
6_32,0.10399637288135594,0.02922267503769782
6_33,0.10519637288135592,0.029551106020017676
6_34,0.08688437288135593,0.024398009188671403
6_35,0.08808437288135593,0.024726812084109373
6_36,0.08808437288135593,0.024714631738067355
6_37,0.08976437288135593,0.030728646519216696
6_39,0.07601237288135594,0.012521502114873325
6_40,0.07601237288135594,0.012521502114873325
6_41,0.07769237288135593,0.012798248159702387
6_42,0.07769237288135593,0.012798248159702387
6_43,0.09600437288135594,0.015814780048339173
6_44,0.09600437288135594,0.015814780048339173
6_45,0.09600437288135594,0.015814780048339173
6_46,0.09600437288135594,0.015814780048339173
6_47,0.09768437288135595,0.01609152609316824
6_48,0.09768437288135595,0.01609152609316824
6_49,0.09936437288135594,0.0163682721379973
6_50,0.10313237288135593,0.02890395603745693
6_51,0.10361237288135594,0.02903748328303398
6_52,0.10361237288135594,0.02902380680846147
6_53,0.11625264406779662,0.032544686604977946
6_54,0.11602891525423728,0.03246646442766255
6_55,0.11700518644067796,0.03273810591074407
6_56,0.11510145762711863,0.04583060635230716
7_8,0.07088410169491526,0.028307210218981034
7_9,0.07256410169491526,0.028983983217556016
7_10,0.07256410169491526,0.028985399789686086
7_11,0.07376410169491525,0.029465965715753523
7_12,0.07376410169491525,0.029466851798305632
7_13,0.07376410169491525,0.029467610477772653
7_14,0.07088410169491526,0.02831755993562333
7_15,0.07376410169491525,0.029468088769337757
7_16,0.07376410169491525,0.029468163733674932
7_17,0.07544410169491526,0.03013953316227535
7_18,0.07424410169491526,0.02966039994699032
7_19,0.09207610169491526,0.036784548122434896
7_20,0.09039610169491524,0.03611347660465558
7_21,0.09159610169491526,0.036592930163167295
7_22,0.09279610169491526,0.037072348096262725
7_23,0.09399610169491525,0.037551742987199425
7_24,0.09519610169491526,0.03803113829075482
7_25,0.09639610169491526,0.03851054128121299
7_26,0.09759610169491524,0.038989951477423755
7_27,0.09879610169491526,0.027768988120465823
7_28,0.08444410169491524,0.013910459019768435
7_29,0.09879610169491526,0.02776819844245879
7_30,0.10758010169491525,0.030235816372145126
7_31,0.10638010169491524,0.02989663563131878
7_32,0.10470010169491524,0.029419947682045373
7_33,0.09423610169491525,0.026472390071122072
7_34,0.07712410169491526,0.02165863542854877
7_35,0.07335610169491526,0.012083935123896623
7_36,0.07335610169491526,0.012083935123896623
7_37,0.07503610169491526,0.012360681168725685
7_38,0.07503610169491526,0.012360681168725685
7_39,0.07671610169491525,0.012637427213554746
