grid_id,risk_index,protection_level
5_27,0.149784406779661,0.07386877903908247
5_28,0.149784406779661,0.07386291816602923
5_29,0.17048440677966098,0.08406901504020373
5_30,0.16568440677966104,0.08170791328332813
5_31,0.15677440677966104,0.07731919384526512
5_32,0.15197440677966104,0.07494539069871536
5_33,0.153974406779661,0.07592828239785263
5_34,0.151174406779661,0.07451373860926194
5_35,0.15317440677966102,0.07543543238310858
5_36,0.15317440677966102,0.07531739613021393
5_40,0.137574406779661,0.03255292569851085
5_41,0.14037440677966104,0.03321546311436766
5_42,0.14928440677966104,0.035323751819826305
5_43,0.152084406779661,0.03598628923568311
5_44,0.152084406779661,0.03598628923568311
5_45,0.152084406779661,0.03598628923568311
5_46,0.152084406779661,0.03598628923568311
5_47,0.15488440677966103,0.03664882665153992
5_48,0.15488440677966103,0.03664882665153992
5_49,0.15768440677966106,0.03731136406739674
5_50,0.16018440677966103,0.07022976898659315
5_51,0.16098440677966103,0.07927586970620411
5_52,0.15898440677966102,0.07832513910486925
5_53,0.15898440677966102,0.07832939147046525
5_54,0.1586115254237288,0.07807422710485579
5_55,0.16023864406779662,0.07874660838301435
6_27,0.15295728813559323,0.07545244079417215
6_28,0.15295728813559323,0.05828644261064582
6_29,0.17365728813559322,0.06616951391158227
6_30,0.16885728813559323,0.06434082326091997
6_31,0.15794728813559322,0.06018774158603336
6_32,0.15514728813559323,0.059121190974180324
6_33,0.1571472881355932,0.059878328663551576
6_34,0.1543472881355932,0.058798402449517
6_35,0.15634728813559323,0.059516580198026824
6_36,0.15634728813559323,0.05942695777575097
6_37,0.15914728813559323,0.0697558542731332
6_39,0.13874728813559323,0.032830453478034406
6_40,0.13874728813559323,0.032830453478034406
6_41,0.14154728813559322,0.03349299089389122
6_42,0.14154728813559322,0.03349299089389122
6_43,0.14434728813559322,0.03415552830974802
6_44,0.1532572881355932,0.03626381701520666
6_45,0.1532572881355932,0.03626381701520666
6_46,0.1532572881355932,0.03626381701520666
6_47,0.15605728813559322,0.03692635443106348
6_48,0.15605728813559322,0.03692635443106348
6_49,0.15885728813559324,0.03758889184692029
